Model,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,Brier Score
Full XGBoost with reaction_outcomes,0.865324,0.841289,0.73857,0.808544,0.761037,0.789307,0.749635,0.149629
Primary leakage-reduced XGBoost without reaction_outcomes,0.8619593915074836,0.8379284265080733,0.7314389960749627,0.8084980146958148,0.7592241923452114,0.7847871350728747,0.7450726433156887,0.15146011114120483
Strict leakage-reduced XGBoost without reaction text fields,0.851748764247196,0.8220649736011553,0.726131903366687,0.7962667153484552,0.7463492243877493,0.7788491585197089,0.7361017709033849,0.1569119244813919
