alert_tier,total_alerts,serious_ade_cases,mean_predicted_risk,percent_of_alerts,serious_ade_rate
Critical,5536,5052,0.8908531,13.84,91.25722543352602
High,12063,8083,0.64883775,30.1575,67.0065489513388
Advisory,8230,3358,0.39900857,20.575,40.80194410692588
Low-risk audit queue,14171,1596,0.14264007,35.4275,11.262437372097947
