Subgroup variable,Subgroup,n,ADE rate (%),AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,FNR,FPR,Brier Score,AUROC gap vs best,Sensitivity gap vs best,FNR gap vs lowest
age_group,Adult(19-40),3782,46.58910629296669,0.8125144693811038,0.7735954619898029,0.7360953461975028,0.7242574257425742,0.6995685005393744,0.7588174273858921,0.7173672566371682,0.26390465380249717,0.27574257425742577,0.17719736695289612,0.0609766216209483,0.11819913233010448,0.11819913233010454
age_group,Child(3-12),582,40.893470790378004,0.837594049247606,0.7500302306031741,0.7100840336134454,0.7848837209302325,0.6954732510288066,0.7964601769911505,0.7027027027027027,0.28991596638655465,0.21511627906976744,0.16268639266490936,0.03589704175444608,0.1442104449141619,0.14421044491416202
age_group,Elderly(81+),2092,62.33269598470363,0.8534341814331539,0.9012593762481854,0.8542944785276073,0.6700507614213198,0.8107714701601164,0.7353760445682451,0.8319641523525019,0.14570552147239263,0.3299492385786802,0.14800038933753967,0.020056909568898273,0.0,0.0
age_group,Infant(0-2),205,52.6829268292683,0.7027491408934707,0.748424519779825,0.7129629629629629,0.5567010309278351,0.6416666666666667,0.6352941176470588,0.6754385964912281,0.28703703703703703,0.44329896907216493,0.218009352684021,0.1707419501085814,0.1413315155646444,0.1413315155646444
age_group,Middle-Aged(41-65),12533,51.36040852150323,0.8409790613403401,0.8481274333241492,0.7646419139350629,0.744750656167979,0.7598024081506638,0.749793559042114,0.7622144792876501,0.23535808606493708,0.255249343832021,0.16320990025997162,0.03251202966171207,0.08965256459254445,0.08965256459254445
age_group,Senior(66-80),8499,56.45370043534533,0.8654177543354044,0.8903543711131432,0.8399333055439766,0.7079167792488517,0.7884954020739582,0.7733175914994097,0.8134019578161268,0.16006669445602334,0.29208322075114834,0.1483418494462967,0.008073336666647779,0.01436117298363071,0.01436117298363071
age_group,Teen(13-18),567,39.85890652557319,0.8083720447408715,0.7014261794500689,0.6814159292035398,0.7478005865102639,0.6416666666666667,0.7798165137614679,0.6609442060085837,0.3185840707964602,0.25219941348973607,0.17326273024082184,0.06511904626118059,0.17287854932406754,0.17287854932406754
age_group,Unknown,11740,27.393526405451446,0.8734910910020521,0.7427893161997404,0.49657960199004975,0.9368840919755983,0.7480093676814988,0.831441957313899,0.5968977761166138,0.5034203980099502,0.06311590802440169,0.12448763847351074,0.0,0.35771487653755757,0.35771487653755757
