Subgroup variable,Subgroup,n,ADE rate (%),AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,FNR,FPR,Brier Score,AUROC gap vs best,Sensitivity gap vs best,FNR gap vs lowest,Fairness flag
patient_sex,Female,20788,42.856455647488936,0.8535468970139293,0.816726658691595,0.6862723089011112,0.8333193029716306,0.7553743513713862,0.7798172364896802,0.719167205787214,0.31372769109888876,0.16668069702836938,0.1550358384847641,0.03211097822032394,0.1263140495965649,0.12631404959656492,FNR gap > 0.10
patient_sex,Male,15757,50.5235768229993,0.8715486892263201,0.8712812866913081,0.8125863584976761,0.7506413545407902,0.7689290383929632,0.7968409586056645,0.7901551239770368,0.18741364150232384,0.24935864545920985,0.1463232934474945,0.014109186007933094,0.0,0.0,No major concern
patient_sex,Unknown,3455,35.2821997105644,0.8856578752342532,0.8026658801039337,0.6374077112387203,0.8788014311270125,0.7414122137404581,0.8163689239717491,0.6854874283193648,0.36259228876127975,0.12119856887298748,0.13216884434223175,0.0,0.17517864725895582,0.1751786472589559,FNR gap > 0.10
age_group,Adult(19-40),3782,46.58910629296669,0.8125144693811038,0.7735954619898029,0.7360953461975028,0.7242574257425742,0.6995685005393744,0.7588174273858921,0.7173672566371682,0.26390465380249717,0.27574257425742577,0.17719736695289612,0.0609766216209483,0.11819913233010448,0.11819913233010454,FNR gap > 0.10
age_group,Child(3-12),582,40.893470790378004,0.837594049247606,0.7500302306031741,0.7100840336134454,0.7848837209302325,0.6954732510288066,0.7964601769911505,0.7027027027027027,0.28991596638655465,0.21511627906976744,0.16268639266490936,0.03589704175444608,0.1442104449141619,0.14421044491416202,FNR gap > 0.10
age_group,Elderly(81+),2092,62.33269598470363,0.8534341814331539,0.9012593762481854,0.8542944785276073,0.6700507614213198,0.8107714701601164,0.7353760445682451,0.8319641523525019,0.14570552147239263,0.3299492385786802,0.14800038933753967,0.020056909568898273,0.0,0.0,No major concern
age_group,Infant(0-2),205,52.6829268292683,0.7027491408934707,0.748424519779825,0.7129629629629629,0.5567010309278351,0.6416666666666667,0.6352941176470588,0.6754385964912281,0.28703703703703703,0.44329896907216493,0.218009352684021,0.1707419501085814,0.1413315155646444,0.1413315155646444,FNR gap > 0.10
age_group,Middle-Aged(41-65),12533,51.36040852150323,0.8409790613403401,0.8481274333241492,0.7646419139350629,0.744750656167979,0.7598024081506638,0.749793559042114,0.7622144792876501,0.23535808606493708,0.255249343832021,0.16320990025997162,0.03251202966171207,0.08965256459254445,0.08965256459254445,No major concern
age_group,Senior(66-80),8499,56.45370043534533,0.8654177543354044,0.8903543711131432,0.8399333055439766,0.7079167792488517,0.7884954020739582,0.7733175914994097,0.8134019578161268,0.16006669445602334,0.29208322075114834,0.1483418494462967,0.008073336666647779,0.01436117298363071,0.01436117298363071,No major concern
age_group,Teen(13-18),567,39.85890652557319,0.8083720447408715,0.7014261794500689,0.6814159292035398,0.7478005865102639,0.6416666666666667,0.7798165137614679,0.6609442060085837,0.3185840707964602,0.25219941348973607,0.17326273024082184,0.06511904626118059,0.17287854932406754,0.17287854932406754,FNR gap > 0.10
