Model,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,Brier Score
Full XGBoost with reaction_outcomes,0.865324,0.841289,0.73857,0.808544,0.761037,0.789307,0.749635,0.149629
Leakage-reduced XGBoost without reaction_outcomes,0.8619593915074836,0.8379284265080733,0.7314389960749627,0.8084980146958148,0.7592241923452114,0.7847871350728747,0.7450726433156887,0.15146011114120483
